data;cod_rca;valor_meta_exclusivas
2026-07-01;14;45619,62109375
2026-08-01;14;30000,0
2026-07-01;20;34418,55859375
2026-08-01;20;41000,0
2026-07-01;27;8017,560546875
2026-08-01;27;10000,0
2026-07-01;33;56960,1640625
2026-08-01;33;50000,0
2026-07-01;40;9554,796875
2026-08-01;40;8607,0
2026-07-01;42;11147,2626953125
2026-08-01;42;9000,0
2026-07-01;58;8758,5634765625
2026-08-01;58;8000,0
2026-07-01;89;11147,2626953125
2026-08-01;89;10000,0
2026-07-01;104;52816,15234375
2026-08-01;104;23000,0
2026-07-01;131;14332,1953125
2026-08-01;131;14000,0
2026-07-01;132;68750,4609375
2026-08-01;132;80000,0
2026-07-01;285;15924,662109375
2026-08-01;285;14000,0
2026-07-01;351;25604,787109375
2026-08-01;351;23000,0
2026-07-01;353;20618,88671875
2026-08-01;353;18245,576171875
2026-07-01;358;39846,6328125
2026-08-01;358;30561,0234375
2026-07-01;360;56368,41015625
2026-08-01;360;40363,6171875
2026-07-01;363;34501,35546875
2026-08-01;363;24386,072265625
2026-07-01;400;26788,947265625
2026-08-01;400;24000,0
2026-07-01;415;100984,3046875
2026-08-01;415;96641,890625
2026-07-01;424;8758,5634765625
2026-08-01;424;8000,0
2026-07-01;429;49565,32421875
2026-08-01;429;40940,23828125
2026-07-01;438;10284,0107421875
2026-08-01;438;12000,0
2026-07-01;451;12739,7294921875
2026-08-01;451;10000,0
2026-07-01;452;45996,3671875
2026-08-01;452;43000,0
2026-07-01;477;11147,2626953125
2026-08-01;477;10000,0
2026-07-01;483;11147,2626953125
2026-08-01;483;10000,0
2026-07-01;522;25176,201171875
2026-08-01;522;15000,0
2026-07-01;525;17756,8203125
2026-08-01;525;14554,583984375
2026-07-01;530;23886,9921875
2026-08-01;530;22000,0
2026-07-01;535;45355,95703125
2026-08-01;535;38633,74609375
2026-07-01;559;9554,796875
2026-08-01;559;8500,0
2026-07-01;571;81438,953125
2026-08-01;571;36711,140625
2026-07-01;580;18040,59765625
2026-08-01;580;10000,0
2026-07-01;595;8593,8076171875
2026-08-01;595;55000,0
2026-07-01;609;17301,517578125
2026-08-01;609;15961,0859375
2026-07-01;610;27071,92578125
2026-08-01;610;24000,0
2026-07-01;619;8758,5634765625
2026-08-01;619;8000,0
2026-07-01;627;1,0
2026-07-01;629;31849,32421875
2026-08-01;629;29000,0
2026-07-01;631;50260,3984375
2026-08-01;631;8072,7236328125
2026-07-01;634;77344,2734375
2026-08-01;634;55000,0
2026-07-01;636;30613,876953125
2026-08-01;636;24794,79296875
2026-07-01;663;19109,59375
2026-08-01;663;18000,0
2026-07-01;664;12739,7294921875
2026-08-01;664;12000,0
2026-07-01;675;27212,3359375
2026-08-01;675;19605,185546875
2026-07-01;703;36495,6953125
2026-08-01;703;25000,0
2026-07-01;767;14763,7509765625
2026-08-01;767;13022,6513671875
2026-07-01;768;27371,771484375
2026-08-01;768;20000,0
2026-07-01;772;69587,0859375
2026-08-01;772;60000,0
2026-07-01;781;22809,810546875
2026-08-01;781;16000,0
2026-07-01;783;4275,2060546875
2026-08-01;783;12000,0
2026-07-01;802;18247,84765625
2026-08-01;802;15000,0
2026-07-01;816;50000,4609375
2026-08-01;816;50000,0
2026-07-01;818;44820,18359375
2026-08-01;818;56000,0
2026-07-01;854;19208,650390625
2026-08-01;854;18000,0
2026-07-01;890;154688,546875
2026-08-01;890;100000,0
2026-07-01;941;15213,3759765625
2026-08-01;941;13495,6005859375
2026-07-01;947;10631,9287109375
2026-08-01;947;8909,3681640625
2026-07-01;951;18247,84765625
2026-08-01;951;15000,0
2026-07-01;952;11525,1904296875
2026-08-01;952;10000,0
2026-07-01;953;36626,72265625
2026-08-01;953;33000,0
2026-07-01;1007;30557,8046875
2026-08-01;1007;25000,0
2026-07-01;1020;18247,84765625
2026-08-01;1020;15000,0
2026-07-01;1063;19109,59375
2026-08-01;1063;18000,0
2026-07-01;1064;14332,1953125
2026-08-01;1064;13000,0
2026-07-01;1075;31849,32421875
2026-08-01;1075;29000,0
2026-07-01;1076;11104,46484375
2026-08-01;1076;9305,33984375
2026-07-01;1102;7962,3310546875
2026-08-01;1102;8000,0
2026-07-01;1116;11351,529296875
2026-08-01;1116;10000,0
2026-07-01;1117;14332,1953125
2026-08-01;1117;13000,0
2026-07-01;1137;58798,08203125
2026-08-01;1137;42670,109375
2026-07-01;1142;85192,4375
2026-08-01;1142;79494,34375
2026-07-01;1254;28631,41796875
2026-08-01;1254;66930,5859375
2026-07-01;1259;3201,441650390625
2026-08-01;1259;604,0
2026-07-01;1277;31933,734375
2026-08-01;1277;25000,0
2026-07-01;1278;5038,12548828125
2026-08-01;1278;8000,0
2026-07-01;1289;17483,638671875
2026-08-01;1289;13939,6015625
2026-07-01;1293;39360,69921875
2026-08-01;1293;28831,154296875
2026-07-01;1298;65151,1640625
2026-08-01;1298;69268,296875
2026-07-01;1308;32894,7109375
2026-08-01;1308;30779,669921875
2026-07-01;1317;17865,046875
2026-08-01;1317;16502,02734375
2026-07-01;1324;32006,76171875
2026-08-01;1324;25000,0
2026-07-01;1327;13685,8857421875
2026-08-01;1327;10000,0
2026-07-01;1340;22809,810546875
2026-08-01;1340;18000,0
2026-07-01;1344;22809,810546875
2026-08-01;1344;18000,0
2026-07-01;1372;18902,181640625
2026-08-01;1372;25000,0
2026-07-01;1374;27371,771484375
2026-08-01;1374;20000,0
2026-07-01;1380;4581,10400390625
2026-08-01;1380;6000,0
2026-07-01;1381;55353,1484375
2026-08-01;1381;50000,0
2026-07-01;1384;94531,890625
2026-08-01;1384;75000,0
2026-07-01;1450;54122,2578125
2026-08-01;1450;50502,2890625
2026-07-01;1456;117179,4375
2026-08-01;1456;107126,0703125
2026-07-01;1465;27071,92578125
2026-08-01;1465;25000,0
2026-07-01;1466;19208,650390625
2026-08-01;1466;31000,0
2026-07-01;1478;11147,2626953125
2026-08-01;1478;10000,0
2026-07-01;1492;2241,00927734375
2026-08-01;1492;906,0
2026-07-01;1499;2241,00927734375
2026-08-01;1499;906,0
2026-07-01;1501;18247,84765625
2026-08-01;1501;15000,0
2026-07-01;1518;25781,423828125
2026-08-01;1518;35000,0
2026-07-01;1539;26892,111328125
2026-08-01;1539;27000,0
2026-07-01;1585;25109,880859375
2026-08-01;1585;22955,5859375
2026-07-01;1632;17756,8203125
2026-08-01;1632;13939,6015625
2026-07-01;1642;22410,091796875
2026-08-01;1642;26792,140625
2026-07-01;1653;35473,22265625
2026-08-01;1653;25371,416015625
2026-07-01;1658;7118,06591796875
2026-08-01;1658;18000,0
2026-07-01;1756;15924,662109375
2026-08-01;1756;15000,0
2026-07-01;1823;24554,794921875
2026-07-01;1834;1009,3046264648438
2026-08-01;1834;908,3740234375
2026-07-01;1846;13292,68359375
2026-08-01;1846;11139,029296875
2026-07-01;1853;11525,1904296875
2026-08-01;1853;15566,5595703125
2026-07-01;1869;54840,08203125
2026-08-01;1869;45000,0
2026-07-01;1871;1524,6942138671875
2026-08-01;1871;1372,224609375
2026-07-01;1873;16007,208984375
2026-08-01;1873;5000,0
2026-07-01;1876;9056,58984375
2026-08-01;1876;1777,130615234375
2026-07-01;1890;28631,41796875
2026-08-01;1890;92242,9140625
2026-07-01;1906;24541,947265625
2026-08-01;1906;23699,025390625
2026-07-01;1907;73666,40625
2026-08-01;1907;68739,2265625
2026-07-01;1937;12739,7294921875
2026-08-01;1937;10000,0
2026-07-01;1956;7284,849609375
2026-08-01;1956;14799,7099609375
2026-07-01;1983;15924,662109375
2026-08-01;1983;10000,0
2026-07-01;1993;15924,662109375
2026-08-01;1993;14000,0
2026-07-01;1996;16287,791015625
2026-08-01;1996;29361,810546875
2026-07-01;2000;28631,41796875
2026-08-01;2000;0,009999999776482582
2026-07-01;2015;37416,9609375
2026-08-01;2015;26627,970703125
2026-07-01;2019;15157,201171875
2026-07-01;2026;14391,03125
2026-08-01;2026;10871,4560546875
2026-07-01;2045;28291,943359375
2026-08-01;2045;61498,2421875
2026-07-01;2049;15892,3857421875
2026-08-01;2049;13317,5400390625
2026-07-01;2064;25611,533203125
2026-07-01;2069;37016,36328125
2026-08-01;2069;25000,0
2026-07-01;2081;22809,810546875
2026-08-01;2081;18000,0
2026-07-01;2082;33074,7109375
2026-08-01;2082;30862,509765625
2026-07-01;2085;20087,904296875
2026-08-01;2085;18364,46875
2026-07-01;2107;44748,4453125
2026-08-01;2107;40675,7734375
2026-07-01;2109;19437,3828125
2026-07-01;2114;42993,546875
2026-08-01;2114;47510,33984375
2026-07-01;2118;44748,55078125
2026-08-01;2118;53859,59375
2026-07-01;2124;27371,771484375
2026-08-01;2124;20000,0
2026-07-01;2131;2241,00927734375
2026-08-01;2131;906,0
2026-07-01;2133;61893,60546875
2026-08-01;2133;123056,859375
2026-07-01;2145;1116,677490234375
2026-08-01;2145;1005,0095825195312
2026-07-01;2146;1739,4398193359375
2026-08-01;2146;1565,4957275390625
2026-07-01;2163;11525,1904296875
2026-08-01;2163;13000,0
2026-07-01;2178;51453,1875
2026-08-01;2178;42000,0
2026-07-01;2183;3156,76123046875
2026-08-01;2183;2841,084716796875
2026-07-01;2185;6606,6875
2026-07-01;2190;24257,21484375
2026-08-01;2190;29000,0
2026-07-01;2197;16846,21484375
2026-08-01;2197;11274,677734375
2026-07-01;2199;52910,58203125
2026-07-01;2211;43870,92578125
2026-08-01;2211;40675,7734375
2026-07-01;2223;1138,1519775390625
2026-08-01;2223;1024,336669921875
2026-07-01;2245;8758,5634765625
2026-08-01;2245;8000,0
2026-07-01;2249;29713,357421875
2026-08-01;2249;27164,111328125
2026-07-01;2250;14332,1953125
2026-08-01;2250;13000,0
2026-07-01;2251;14332,1953125
2026-08-01;2251;13000,0
2026-07-01;2258;2241,00927734375
2026-08-01;2258;604,0
2026-07-01;2261;4482,0185546875
2026-08-01;2261;906,0
2026-07-01;2266;2241,00927734375
2026-08-01;2266;604,0
2026-07-01;2276;1932,7109375
2026-08-01;2276;1739,439697265625
2026-07-01;2279;11147,2626953125
