data;cod_rca;cod_telenvenda;valor_marcas_exclusivas;origempedido
2026-01-01;1869;8888;636,02;E-COMMERCE
2026-01-01;1064;8888;36,94;E-COMMERCE
2026-01-01;2199;8888;4630,79;FORÇA DE VENDAS
2026-01-01;2124;8888;196,19;E-COMMERCE
2026-01-01;1063;38;304,28;TELEMARKETING
2026-01-01;2366;8888;402,93;E-COMMERCE
2026-01-01;2309;2220;2404,64;TELEMARKETING
2026-01-01;1137;874;366,08;TELEMARKETING
2026-01-01;2496;8888;161,25;FORÇA DE VENDAS
2026-01-01;2363;8888;348,3;E-COMMERCE
2026-01-01;1344;8888;11470,87;FORÇA DE VENDAS
2026-01-01;351;8888;18295,18;FORÇA DE VENDAS
2026-01-01;1340;8888;7373,49;FORÇA DE VENDAS
2026-01-01;2419;8888;4754,88;FORÇA DE VENDAS
2026-01-01;2419;8888;35,5;E-COMMERCE
2026-01-01;2345;1929;40,88;TELEMARKETING
2026-01-01;2613;8888;25396,41;FORÇA DE VENDAS
2026-01-01;2491;1312;12053,74;TELEMARKETING
2026-01-01;1166;8888;4496,18;E-COMMERCE
2026-01-01;2657;2853;5230,06;TELEMARKETING
2026-01-01;2662;1884;121,92;TELEMARKETING
2026-01-01;2662;2985;365,94;TELEMARKETING
2026-01-01;2606;2727;924,55;TELEMARKETING
2026-01-01;1876;1929;302,24;TELEMARKETING
2026-01-01;1203;8888;6912,76;FORÇA DE VENDAS
2026-01-01;2085;1778;295,67;TELEMARKETING
2026-01-01;634;8888;369,44;E-COMMERCE
2026-01-01;2602;8888;757,28;E-COMMERCE
2026-01-01;802;1533;407,28;TELEMARKETING
2026-01-01;2687;8888;558,72;FORÇA DE VENDAS
2026-01-01;2655;8888;12654,47;FORÇA DE VENDAS
2026-01-01;2684;8888;196,48;FORÇA DE VENDAS
2026-01-01;530;8888;45181,11;FORÇA DE VENDAS
2026-01-01;1381;8888;22661,81;FORÇA DE VENDAS
2026-01-01;2287;1960;15341,68;TELEMARKETING
2026-01-01;2000;8888;15982,56;FORÇA DE VENDAS
2026-01-01;2648;1929;1079,68;TELEMARKETING
2026-01-01;1956;672;2698,83;TELEMARKETING
2026-01-01;2665;2853;2993,56;TELEMARKETING
2026-01-01;2530;8888;2571,25;FORÇA DE VENDAS
2026-01-01;2579;672;2359,69;TELEMARKETING
2026-01-01;2192;412;135,68;TELEMARKETING
2026-01-01;2413;2727;1245,37;TELEMARKETING
2026-01-01;1308;1954;1478,85;TELEMARKETING
2026-01-01;2592;1778;9962,67;TELEMARKETING
2026-01-01;2394;8888;1500,95;FORÇA DE VENDAS
2026-01-01;525;1087;1252,56;TELEMARKETING
2026-01-01;1166;1885;950,6;TELEMARKETING
2026-01-01;2620;3179;780,19;TELEMARKETING
2026-01-01;2490;8888;1551,64;E-COMMERCE
2026-01-01;540;412;148,92;TELEMARKETING
2026-01-01;2659;2185;407,4;TELEMARKETING
2026-01-01;2510;8888;24388,82;PEDIDO ELETRÔNICO
2026-01-01;949;1258;3112,18;TELEMARKETING
2026-01-01;2341;8888;12,51;E-COMMERCE
2026-01-01;1539;1885;3714,18;TELEMARKETING
2026-01-01;1299;2523;8253,11;TELEMARKETING
2026-01-01;443;1533;202,88;TELEMARKETING
2026-01-01;1063;8888;341,6;E-COMMERCE
2026-01-01;1998;8888;10821,09;FORÇA DE VENDAS
2026-01-01;2588;8888;18090,93;FORÇA DE VENDAS
2026-01-01;1642;1885;1064,0;TELEMARKETING
2026-01-01;2015;2571;597,22;TELEMARKETING
2026-01-01;2228;8888;815,78;FORÇA DE VENDAS
2026-01-01;2375;8888;6627,39;FORÇA DE VENDAS
2026-01-01;1117;8888;4330,44;FORÇA DE VENDAS
2026-01-01;2049;1087;2016,6;TELEMARKETING
2026-01-01;2639;8888;664,17;FORÇA DE VENDAS
2026-01-01;2663;1885;1310,56;TELEMARKETING
2026-01-01;609;8888;11905,25;FORÇA DE VENDAS
2026-01-01;2651;8888;1255,48;E-COMMERCE
2026-01-01;2402;998;47539,44;TELEMARKETING
2026-01-01;1993;8888;20,66;E-COMMERCE
2026-01-01;1465;675;492,04;TELEMARKETING
2026-01-01;2178;738;2195,64;TELEMARKETING
2026-01-01;818;1885;230,46;TELEMARKETING
2026-01-01;353;412;1448,5;TELEMARKETING
2026-01-01;1632;8888;3324,26;FORÇA DE VENDAS
2026-01-01;360;8888;616,88;E-COMMERCE
2026-01-01;14;805;5058,1;TELEMARKETING
2026-01-01;2019;977;1259,6;TELEMARKETING
2026-01-01;2019;8888;13549,38;FORÇA DE VENDAS
2026-01-01;285;8888;600,64;E-COMMERCE
2026-01-01;953;805;1352,73;TELEMARKETING
2026-01-01;610;8888;8345,96;FORÇA DE VENDAS
2026-01-01;104;8888;-8189,44;FORÇA DE VENDAS
2026-01-01;2413;8888;-3025,21;FORÇA DE VENDAS
2026-01-01;441;8888;104070,86;FORÇA DE VENDAS
2026-01-01;460;8888;3093,11;FORÇA DE VENDAS
2026-01-01;951;738;770,4;TELEMARKETING
2026-01-01;1890;1953;2516,7;TELEMARKETING
2026-01-01;2197;8888;16909,42;FORÇA DE VENDAS
